t	p	T	az	ay	ax	gz	gy	gx	fs
193753	304156	28942	56	16	-7	-16329	-479	-635	5
193785	304167	28940	65	5	-3	-15417	-484	-861	5
193816	304199	28940	60	15	-9	-14898	-512	-448	5
193848	304227	28940	57	20	-7	-15013	-759	-276	5
193879	304238	28942	61	-1	-16	-15058	-1030	51	5
193911	304256	28939	62	17	5	-14502	-1177	270	5
193943	304258	28943	66	11	0	-15156	-1011	315	5
193974	304277	28942	65	12	5	-15626	-657	142	5
194006	304312	28942	74	16	-5	-16151	-301	116	5
194038	304337	28943	61	22	-6	-16473	-71	167	5
194069	304360	28942	67	16	2	-16173	477	377	5
194101	304388	28940	63	18	-5	-16854	153	437	5
194132	304414	28942	74	18	-10	-16850	-187	222	5
194164	304425	28944	72	13	-8	-16983	-448	-411	5
194196	304449	28942	74	12	-6	-17171	-395	-717	5
194227	304478	28942	74	16	6	-17141	-280	-937	5
194259	304508	28942	78	8	-1	-17336	-178	-998	5
194291	304522	28940	72	13	-6	-17698	-521	-916	5
194322	304543	28940	72	11	4	-17650	-726	-672	5
194354	304571	28940	71	12	-12	-17840	-837	-539	5
194385	304586	28942	79	18	-9	-17780	-808	-345	5
194417	304609	28938	84	17	-1	-17812	-695	-131	5
194449	304634	28940	55	14	8	-18151	-767	-101	5
194480	314536	28938	-3536	1302	-969	-13003	-1918	1457	5
194512	304231	28935	-122	92	-1	19623	25341	-19069	5
194544	304295	28934	-196	618	244	32704	29601	-32361	5
194575	303939	28940	1007	1187	-3385	32704	-29404	-2614	5
194607	304275	28940	1810	-1518	-37	20540	32752	-26528	5
194639	304542	28944	423	-190	1227	-32768	32752	-10170	5
194670	304499	28934	23	316	-2174	-32768	11707	20487	5
194702	304524	28940	-153	951	-1009	-32768	-24328	22792	5
194733	304674	28940	-340	356	83	-32768	-32688	5476	5
194765	304657	28938	-434	318	-231	-32768	-32688	-28088	5
194797	304564	28940	-828	612	-224	-21430	-32688	-32768	5
194828	304825	28939	-851	614	-274	-960	-32688	-32768	5
194860	305258	28940	-826	273	-52	19095	-32688	-32768	5
194892	305118	28939	-783	268	51	32704	-32688	-13425	5
194923	304343	28940	-352	375	68	32704	-32688	32673	5
194955	304839	28940	-561	-677	1706	23698	-32688	32704	5
194986	304811	28939	-262	1321	-1754	-32768	-32636	-32768	5
195018	305356	28936	-1138	316	-448	-28858	32752	-32768	5

